Zeit;Kanal A
(ms);(mV)

-23,97499908;6,06083900
-23,96999908;6,06083900
-23,96499908;6,06083900
-23,95999908;5,59485700
-23,95499908;5,12733700
-23,94999908;5,12733700
-23,94499908;4,19537400
-23,93999908;4,19537400
-23,93499908;3,72939200
-23,92999908;3,72939200
-23,92499908;3,26341000
-23,91999908;1,86392700
-23,91499908;1,39794500
-23,90999908;1,39794500
-23,90499908;0,46598180
-23,89999908;-0,93196350
-23,89499908;-1,86392700
-23,88999908;-3,26341000
-23,88499908;-3,72939200
-23,87999908;-4,66135500
-23,87499908;-6,52682100
-23,86999908;-8,39228500
-23,86499908;-8,85826700
-23,85999908;-10,72373000
-23,85499908;-10,25621000
-23,84999908;-11,18971000
-23,84499908;-12,58766000
-23,83999908;-13,52116000
-23,83499908;-13,98714000
-23,82999908;-13,98714000
-23,82499908;-13,52116000
-23,81999908;-13,05518000
-23,81499908;-13,52116000
-23,80999908;-13,05518000
-23,80499908;-13,05518000
-23,79999908;-13,98714000
-23,79499908;-13,98714000
-23,78999908;-14,91911000
-23,78499908;-16,31859000
-23,77999908;-16,78457000
-23,77499908;-18,18405000
-23,76999908;-20,51396000
-23,76499908;-23,31139000
-23,75999908;-25,17686000
-23,75499908;-25,17686000
-23,74999908;-26,11036000
-23,74499908;-26,57634000
-23,73999908;-27,50830000
-23,73499908;-27,50830000
-23,72999908;-27,50830000
-23,72499908;-26,11036000
-23,71999908;-24,71087000
-23,71499908;-22,84541000
-23,70999908;-20,51396000
-23,70499908;-18,18405000
-23,69999908;-16,31859000
-23,69499908;-14,45312000
-23,68999909;-11,65570000
-23,68499909;-10,25621000
-23,67999909;-8,85826700
-23,67499909;-7,45878400
-23,66999909;-5,59485700
-23,66499909;-5,59485700
-23,65999909;-5,12733700
-23,65499909;-6,52682100
-23,64999909;-7,92630300
-23,64499909;-7,45878400
-23,63999909;-8,39228500
-23,63499909;-9,32424900
-23,62999909;-10,72373000
-23,62499909;-12,58766000
-23,61999909;-13,05518000
-23,61499909;-13,52116000
-23,60999909;-14,91911000
-23,60499909;-13,98714000
-23,59999909;-12,58766000
-23,59499909;-12,58766000
-23,58999909;-13,52116000
-23,58499909;-11,65570000
-23,57999909;-10,25621000
-23,57499909;-8,85826700
-23,56999909;-7,92630300
-23,56499909;-6,52682100
-23,55999909;-5,59485700
-23,55499909;-3,72939200
-23,54999909;-3,26341000
-23,54499909;-2,79742800
-23,53999909;-1,39794500
-23,53499909;0,00000000
-23,52999909;1,39794500
-23,52499909;1,86392700
-23,51999909;2,79742800
-23,51499909;4,19537400
-23,50999909;6,06083900
