Zeit;Kanal A
(ms);(mV)

-25,00999905;-11,65570000
-25,00499905;-11,18971000
-24,99999905;-9,79023100
-24,99499905;-9,32424900
-24,98999905;-9,79023100
-24,98499905;-9,32424900
-24,97999905;-8,39228500
-24,97499905;-9,32424900
-24,96999905;-7,92630300
-24,96499905;-6,99280200
-24,95999905;-5,59485700
-24,95499905;-4,66135500
-24,94999905;-2,32990900
-24,94499905;-1,39794500
-24,93999905;-0,93196350
-24,93499905;0,46598180
-24,92999905;0,93196350
-24,92499905;1,86392700
-24,91999905;0,93196350
-24,91499905;0,00000000
-24,90999905;0,46598180
-24,90499905;0,00000000
-24,89999905;-0,93196350
-24,89499905;-0,93196350
-24,88999905;-0,46598180
-24,88499905;-0,93196350
-24,87999905;0,00000000
-24,87499906;0,93196350
-24,86999906;1,39794500
-24,86499906;3,26341000
-24,85999906;4,19537400
-24,85499906;6,52682100
-24,84999906;8,85826700
-24,84499906;9,32424900
-24,83999906;10,72373000
-24,83499906;13,52116000
-24,82999906;14,45312000
-24,82499906;14,45312000
-24,81999906;14,45312000
-24,81499906;14,45312000
-24,80999906;14,45312000
-24,80499906;13,52116000
-24,79999906;13,05518000
-24,79499906;12,58766000
-24,78999906;11,18971000
-24,78499906;9,79023100
-24,77999906;9,79023100
-24,77499906;8,39228500
-24,76999906;6,99280200
-24,76499906;6,06083900
-24,75999906;4,19537400
-24,75499906;2,79742800
-24,74999906;0,46598180
-24,74499906;-1,39794500
-24,73999906;-2,79742800
-24,73499906;-2,79742800
-24,72999906;-1,86392700
-24,72499906;-2,79742800
-24,71999906;-0,46598180
-24,71499906;-1,39794500
-24,70999906;0,00000000
-24,70499906;2,32990900
-24,69999906;3,26341000
-24,69499906;3,72939200
-24,68999906;5,12733700
-24,68499906;6,06083900
-24,67999906;7,92630300
-24,67499906;8,85826700
-24,66999906;10,25621000
-24,66499906;11,18971000
-24,65999906;10,25621000
-24,65499906;10,72373000
-24,64999906;13,05518000
-24,64499906;11,65570000
-24,63999906;10,72373000
